corp_code,corp_name,stock_code,is_listed,rcept_2020,rcept_2021,rcept_2022,rcept_2023,rcept_2024
00109453,케이조선,067250,True,20210325000123,20220329000220,20230322000174,20240328000369,20250327000272
00109514,티웨이홀딩스,004870,True,20210319000958,20220323000447,20230323000588,20240321001723,20250321001276
00109587,대륙제관,004780,True,20210318000793,20220317000749,20230316000795,20240314001264,20250313001272
00109754,대림바스,005750,True,20210318001112,20220317001239,20230323001091,20240321001994,20250321001769
00109781,대림제지,017650,True,20210318001270,20220321000653,20230323000487,20240321000889,20250320000731
00109806,삼일씨엔에스,004440,True,20210322000931,20220328000445,20230321001368,20240321000414,20250320001188
00109824,대림통상,006570,True,20210318001276,20220323000843,20230322000569,20240321001877,20250320001663
00110060,대백저축은행,026970,True,20210329000258,20220330000204,20230330000271,20240328000952,20250328000759
00110307,대선조선,031990,True,20210329000187,20220310000065,20230327000179,20240328001166,20250327000929
00110547,링세오코리아,003050,True,20210331003116,20220331002641,20230330001723,20240327001061,20250331002147
00110583,DH오토웨어,025440,True,20210331000765,20220323001239,20230322001327,20240403003408,20250321000004
00110608,DSR,155660,True,20210319001229,20220322000343,20230320000736,20240321001104,20250227006937
00110875,대신정보통신,020180,True,20200828000536,20210610000250,20220609000304,20230810000089,20240613000108
00111218,KD,044180,True,20210531001029,20220323001362,20230324000007,20240321002041,20250320001744
00111227,대양제지공업,006580,True,20210419000484,20220322000683,20230322000806,20240321001628,20250331002969
00111421,휴니드테크놀러지스,005870,True,20210317001215,20220308000872,20230313000533,20240311000760,20250310000706
00111458,대영포장,014160,True,20210318000495,20220322000600,20230322000585,20240321000763,20250320001314
00111689,아진전자부품,009320,True,20210325000667,20220323001221,20230321001100,20240319000483,20250321001016
00111704,한화오션,042660,True,20210317001184,20220314001167,20230313000849,20240328000773,20250314001630
00111838,대원,007680,True,20210330001172,20220322001045,20230321001295,20240320001788,20250320000690
00111874,대원산업,005710,True,20210318001203,20220317000892,20230323001275,20240314001565,20250320000948
00111999,대원제약,003220,True,20210416000487,20220317001141,20230317000005,20240314001399,20250320001537
00112004,알바이오,003190,True,20210331003040,20220331003478,20230331004251,20240329003251,20250331004016
00112059,상상인증권,001290,True,20210319001225,20220321001270,20230321001175,20240321001758,20250318001083
00112165,디아이씨,092200,True,20210319001310,20220318000617,20230317000518,20240315000327,20250321001173
00112378,KR모터스,000040,True,20210322000894,20220518000138,20230322001182,20240321002062,20250319000576
00112457,대주산업,003310,True,20210317000846,20220321000775,20230320000913,20240320001261,20250318000629
00112651,대창,012800,True,20210316000786,20220322000499,20230321001144,20240319000397,20250318001233
00112721,대창스틸,140520,True,20210323000633,20220323000648,20230322001133,20240321001151,20250321000820
00112819,데코앤에프,017680,True,20210331002716,20220331002264,20230323000825,20240321001422,20250320001364
00112873,미래엔,,False,20210331001550,20220331002406,20230331002870,20240401004176,20250331002876
00113058,한화생명,088350,True,20210305000803,20220316001424,20230315001327,20240430000873,20250331003702
00113128,대한약품,023910,True,20210316000540,20220321000548,20230317000898,20240320000471,20250318000608
00113207,대한전선,001440,True,20210318001288,20220322001052,20230322001136,20240321001692,20250325001056
00113225,대한제강,084010,True,20210318000302,20220317000844,20230331003410,20240314001065,20250320000395
00113234,대한제당,001790,True,20210419000297,20220317000728,20230316001046,20240314001234,20250313001084
00113243,대한제분,001130,True,20210318001080,20220317001052,20230316001412,20240510001061,20250313001408
00113261,대한광통신,010170,True,20210316000886,20220317000955,20230316001376,20240321001763,20250320001578
00113359,교보증권,030610,True,20210326001145,20220315000921,20230314000692,20240314001518,20250313000901
00113410,CJ대한통운,000120,True,20210319001047,20220318000927,20230317000857,20240320001789,20250317001020
00113492,깨끗한나라,004540,True,20210317001261,20220325001053,20230316000673,20240401001062,20250320000849
00113526,대한항공,003490,True,20210318001404,20220315001120,20230314000740,20240313001650,20250318001334
00113535,대한해운,005880,True,20210322000956,20220322000863,20230322001051,20240321001983,20250320001093
00113562,롯데손해보험,000400,True,20210323001100,20220323000792,20230323001495,20240430001079,20250424000557
00113614,대현,016090,True,20210419000142,20220317000488,20230316001384,20240329000905,20250321001236
00113997,롯데에너지머티리얼즈,020150,True,20210323001108,20220318001055,20230323001050,20240315000794,20250314001597
00114093,덕성,004830,True,20210319000522,20220318000680,20230317000725,20240318000444,20250317000503
00114154,디와이덕양,024900,True,20210609000312,20220404002273,20230320000948,20240318000799,20250317000666
00114686,동구바이오제약,006620,True,20210317000527,20220323000175,20230320000852,20240320001506,20250318001200
00114765,케이비아이동국실업,001620,True,20210323000916,20220323000961,20230323001211,20240321000932,20250319000773
00114792,동국홀딩스,001230,True,20210326000255,20220324000882,20230316001310,20240329002513,20250318001457
00114808,동국제약,086450,True,20210311001130,20220317001170,20230316001371,20240314001722,20250313001454
00115384,동방아그로,007590,True,20210311000942,20220317000463,20230316000733,20240314000783,20250313000657
00115472,미주제강,002670,True,20210324000073,20220325000064,20230324000030,20240326000476,20250327000025
00115676,KG스틸,016380,True,20210311001031,20220316001244,20230315000071,20240326000399,20250318001327
00115694,DB증권,016610,True,20210322000945,20220316001241,20230321001219,20240318000925,20250317000605
00115977,아이에스동서,010780,True,20210318001311,20220317001305,20230323001296,20240321001950,20250319001050
00116073,그린기술투자,025340,True,20210331000332,20220331000225,20230331002168,20240401001728,20250331000382
00116268,동성제약,002210,True,20210319000344,20220328000201,20230331003352,20240315000555,20250321001375
00116301,NI스틸,008260,True,20210311000847,20220310001141,20230316000724,20240314000638,20250313000820
00116408,동신건설,025950,True,20210326001141,20220318000386,20230317000938,20240319000396,20250319001068
00116806,하스코,012760,True,20210331002482,20220331000080,20230331001184,20240329002301,20250321000556
00116824,동아쏘시오홀딩스,000640,True,20210319001153,20220318000656,20230321001017,20240320001846,20250321001899
00116949,DN오토모티브,007340,True,20210323000549,20220321001500,20230322001200,20240315000015,20250313001452
00117027,알루코,001780,True,20210318000933,20220318000527,20230320000703,20240320001063,20250318000832
00117072,동양건설산업,005900,True,20210331001581,20220331002273,20230331003874,20240401003945,20250331003981
00117179,디와이,013570,True,20210317000774,20220316000565,20230315001400,20240313001243,20250312001047
00117188,효성,004800,True,20210324000507,20220310001203,20230309000903,20240315000695,20250313001006
00117230,TYM,002900,True,20210319000739,20220321001204,20230322001174,20240321000848,20250319000651
00117267,동양생명,082640,True,20210520000233,20220323001093,20230322001102,20240430000184,20250331000321
00117276,네이처셀,007390,True,20210319001110,20220318001047,20230323001021,20240321001729,20250319000970
00117498,스틱인베스트먼트,026890,True,20210317000940,20220321001468,20230320000673,20240319000556,20250320001381
00117577,오리온홀딩스,001800,True,20210310001206,20220316001417,20230315001148,20240313000499,20250318000980
00117601,유안타증권,003470,True,20210318000778,20220317000941,20230314000094,20240313000105,20250313000247
00117629,KBI동양철관,008970,True,20210315001021,20220321001370,20230320000536,20240318000933,20250317000788
00117726,DYP,092780,True,20210323000271,20220323000753,20230323001067,20240321001296,20250321001077
00118008,동원금속,018500,True,20200629000448,20210706000358,20220620000208,20230620000249,20240619000177
00118044,동원수산,030720,True,20210318001363,20220317000755,20230316000263,20240314001415,20250404003738
00118266,DRB동일,004840,True,20210316000835,20220316000864,20230315000744,20240313001071,20250313000850
00118284,동일금속,109860,True,20210326000343,20220323000503,20230316000288,20240315000234,20250320001051
00118345,디아이동일,001530,True,20210318001236,20220317000939,20230316001325,20240314001589,20250331004012
00118451,동일제강,002690,True,20210318000801,20220323000738,20230322001127,20240321001135,20250424000289
00118804,동진쎄미켐,005290,True,20210318000597,20220317000647,20230316001000,20240314001382,20250319000732
00118965,티에이치엔,019180,True,20210322000959,20220322000923,20230322000844,20240320001057,20250319001022
00119007,무림P&P,009580,True,20210317001126,20220315000694,20230320000856,20240315000661,20250314001672
00119140,핸즈코퍼레이션,143210,True,20210322000760,20220323000898,20230322000808,20240513000862,20250321001881
00119195,동화약품,000020,True,20210317000578,20220322000889,20230315001100,20240319000652,20250318000739
00119724,두원중공업,,False,20210331002447,20220331002424,20230331002626,20240401003005,20250331001956
00120021,LG,003550,True,20210311000968,20220321001237,20230321001235,20240319000703,20250318001070
00120076,LX인터내셔널,001120,True,20210316000546,20220316000964,20230315000850,20240320000868,20250320000626
00120182,NH투자증권,005940,True,20210317000233,20220315000644,20230315000964,20240514000627,20250313000770
00120438,롯데건설,,False,20210331002719,20220331003180,20230331004378,20240401003217,20250331003610
00120483,롯데물산,,False,20210331002393,20220331002921,20230331003972,20240401003955,20250331003982
00120526,롯데쇼핑,023530,True,20210315000915,20220315001185,20230315001405,20240315000948,20250314001659
00120562,롯데지주,004990,True,20210318001129,20220317001201,20230323001274,20240320001124,20250620000111
00120571,롯데칠성음료,005300,True,20210315000941,20220317000852,20230314001296,20240326000264,20250317000932
00120906,에스아이리소스,065420,True,20210407002561,20220322000093,20230321001407,20240320000487,20250319000285
00120924,매일홀딩스,005990,True,20210318001355,20220317001119,20230323001135,20240321001567,20250320001467
00120988,삼성메디슨,,False,20210331002224,20220331003117,20230331002976,20240401000041,20250331001705
00121154,엠에스씨,009780,True,20210318000477,20220317000310,20230323000547,20240321001102,20250320000679
00121288,모나미,005360,True,20210331000541,20220321000384,20230321000713,20240320000713,20250321000631
00121507,무림SP,001810,True,20210317001280,20220315000750,20230320000944,20240315000707,20250314001344
00121534,MH에탄올,023150,True,20210316000829,20220316000865,20230315001383,20240313001046,20250312000625
00121543,무학,033920,True,20210319001404,20220318000779,20230320000776,20240319000693,20250324000610
00121686,엠케이전자,033160,True,20210323000531,20220323001073,20230323001008,20240405000740,20250321001427
00122056,미창석유공업,003650,True,20210325000207,20220324000331,20230327000678,20240321000804,20250321001415
00122205,바른손,018700,True,20210322001107,20220322000758,20230322001213,20240320002044,20250320001342
00122348,방림,003610,True,20201229000102,20211222000216,20221230000430,20231221000198,20241219000406
00122481,태경비케이,014580,True,20210319000931,20220315000630,20230316001157,20240319000625,20250320001058
00122579,BYC,001460,True,20210318001376,20220317001262,20230316001312,20240314001341,20250320001026
00122737,팬오션,028670,True,20210322000897,20220321000845,20230321001130,20240319000829,20250318000777
00122898,벽산,007210,True,20210319000834,20220321000885,20230321000942,20240320001583,20250321001224
00123107,보락,002760,True,20210310000273,20220317000649,20230316000878,20240314000488,20250321000822
00123143,보령,003850,True,20210318000772,20220317001028,20230313000894,20240311000918,20250320001237
00123541,보해양조,000890,True,20210319001392,20220315001204,20230321001480,20240318000717,20250318001002
00123781,부국철강,026940,True,20210318000880,20220317000378,20230323000263,20240321000615,20250320000887
00124027,부산산업,011390,True,20210318000217,20220317000676,20230316000697,20240321000638,20250320000250
00124106,부산은행,005280,True,20210331002302,20220317000871,20230309000684,20240314001339,20250514000045
00124197,세아제강지주,003030,True,20210318000358,20220314001220,20230315000645,20240318000595,20250317000708
00124276,부스타,008470,True,20210315000724,20220318000252,20230317000896,20240315000952,20250314000761
00124504,포스코인터내셔널,047050,True,20210305000796,20220311001166,20230310000736,20240329001908,20250314001718
00124577,엠소닉,008120,True,20210331000385,20220330001556,20230414000528,20240401001820,20250331002668
00124780,사조씨푸드,014710,True,20210318001142,20220318001114,20230315001385,20240312000794,20250311000913
00124799,사조산업,007160,True,20210318001287,20220316001349,20230315001388,20240313000865,20250312000903
00124805,푸른저축은행,007330,True,20210303000650,20220308000292,20230315000460,20240321001414,20250318000957
00125080,AK홀딩스,006840,True,20210323000581,20220321001495,20230323001504,20240321001157,20250318001263
00125530,SPC삼립,005610,True,20210318000643,20220317001271,20230316001219,20240321001513,20250318001175
00125576,체시스,033250,True,20200928000395,20210917000616,20220920000356,20240321001312,20250321001138
00125655,삼미,,False,20210331002976,20220331001781,20230331002744,20240329001283,20250331001707
00125725,디모아,016670,True,20210322001176,20220323001223,20230323000002,20240320002029,20250514000482
00125743,현대비앤지스틸,004560,True,20210317001107,20220321000797,20230317000757,20240318000828,20250321001499
00125910,엘티삼보,,False,20210331002166,20220331001552,20230322001099,20240401003971,20250328000449
00125965,케이에이치미래물산,111870,True,20210322001134,20220322001117,20230323001131,20240322000008,20250321001109
00126061,대한상선,,False,20210329000971,20220330001676,20230330001568,20240329001045,20250327000002
00126186,삼성에스디에스,018260,True,20210309000603,20220308000737,20230307000606,20240329003204,20250311001129
00126201,삼성공조,006660,True,20210318000391,20220317001008,20230321001375,20240319000751,20250320001319
00126256,삼성생명,032830,True,20210310001045,20220308000939,20230308000737,20240612000329,20250331004004
00126292,삼성카드,029780,True,20210310000928,20220308000831,20230308000723,20240312000868,20250312000920
00126362,삼성SDI,006400,True,20210309000252,20220308000915,20230313000726,20240312000853,20250311001275
00126371,삼성전기,009150,True,20210309000338,20220308000667,20230307000653,20240329002895,20250311001190
00126380,삼성전자,005930,True,20210309000744,20220308000798,20230307000542,20240312000736,20250311001085
00126478,삼성중공업,010140,True,20210311000965,20220310001057,20230309000699,20240315000850,20250319000397
00126779,삼아알미늄,006110,True,20210318000648,20220325000460,20230315001212,20240314001254,20250313001287
00126788,삼아제약,009300,True,20210322000212,20220322000399,20230322001054,20240320001977,20250320001308
00126937,삼양홀딩스,000070,True,20210318001293,20220322001008,20230316001063,20240328001539,20250320000941
00127042,삼양통상,002170,True,20210311001144,20220331003424,20230315001242,20240314001152,20250321001357
00127158,씨아이테크,004920,True,20210517001174,20220323000416,20230320000388,20240402003607,20250321000753
00127167,삼영무역,002810,True,20210324000625,20220317000637,20230524000304,20240320000814,20250318000675
00127200,삼영전자공업,005680,True,20210311000178,20220310001191,20230316001053,20240326000917,20250320001464
00127459,삼우씨엠건축사사무소,,False,20210331003423,20220331003323,20230331003403,20240401004395,20250331004080
00127699,유네코,064510,True,20210517002068,20220516002735,20230331002341,20240328000288,20250331000237
00127802,삼익THK,004380,True,20210318000062,20220329000395,20230316001338,20240314001617,20250313001328
00127909,삼일,032280,True,20210604000267,20220318000567,20230317000420,20240315000519,20250314001041
00127936,삼일기업공사,002290,True,20210329000981,20220316000845,20230323000615,20240322000965,20250320001455
00127954,CJ프레시웨이,051500,True,20210331002613,20220318000545,20230317000800,20240320001012,20250320000745
00128032,삼일제약,000520,True,20210311000157,20220316000554,20230316001021,20240314001673,20250328001724
00128111,포스코엠텍,009520,True,20210305000701,20220311000799,20230320001012,20240315000766,20250313001212
00128175,원익큐브,014190,True,20210316001183,20220316000432,20230320001065,20240318000536,20250317000887
00128227,삼정펄프,009770,True,20210317000095,20220323001311,20230323000457,20240320000477,20250327001293
00128315,삼지전자,037460,True,20210318000777,20220317000523,20230316000988,20240315000002,20250313001096
00128412,삼진제약,005500,True,20210318000733,20220317000889,20230410003453,20240314001307,20250313001200
00128546,삼천당제약,000250,True,20210315000552,20220321001117,20230321000689,20240320001960,20250324000897
00128661,에스에이엠티,031330,True,20210318000767,20220317000642,20230316000647,20240314001752,20250312001100
00128971,디엘건설,001880,True,20210317001218,20220315001257,20230315000019,20240319000567,20250314001622
00128980,삼호개발,010960,True,20210309000431,20220315000910,20230320000375,20240321001103,20250317000096
00129013,CJ씨푸드,011150,True,20210319000697,20220321000834,20230320000740,20240319000639,20250317000808
00129235,삼화왕관,004450,True,20210608000200,20220317000402,20230316000542,20240314001652,20250320000947
00129271,삼화전기,009470,True,20210318000581,20220317001080,20230316001182,20240314000726,20250313000817
00129350,삼화콘덴서공업,001820,True,20210318000813,20220317000863,20230316001232,20240314001464,20250313000953
00129387,삼화페인트공업,000390,True,20210317000464,20220316000363,20230316001290,20240320000357,20250312000816
00129615,상보,027580,True,20210316000301,20220321000755,20230321000395,20240315000798,20250317000563
00129642,상신브레이크,041650,True,20210319000704,20220318001064,20230317000349,20240315000633,20250314001195
00129679,녹십자,006280,True,20210428000731,20220321001318,20230321001403,20240320001551,20250318001288
00129989,코스모신소재,005070,True,20210315000702,20220408002366,20230315000297,20240315000492,20250314000812
00130152,서광,,False,20210329000602,20220329000056,20230331000060,20240326000336,20250331000166
00130383,서부T&D,006730,True,20210322001100,20220321000985,20230320000565,20240321000430,20250318001411
00130587,서울전자통신,027040,True,20210318000661,20220323001224,20230323001510,20240321001873,20250320001197
00130763,서울반도체,046890,True,20210322000995,20220322000455,20230322001336,20240320002057,20250327001143
