corp_code,corp_name,stock_code,rcept_2020,rcept_2021,rcept_2022,rcept_2023,rcept_2024
00143794,원림,005820,20210319000654,20220321000664,20230321000959,20240320000682,20250321000993
01267222,캐리소프트,317530,20210323000879,20220323000782,20230322001076,20240321001449,20250320001136
00175650,케이씨더블류,068060,20210331001006,20220322000298,20230322000994,20240319000518,20250319000464
01139497,에스제이켐,217910,20210330000724,20220317001104,20230323000930,20240321001858,20250320001420
00118965,티에이치엔,019180,20210322000959,20220322000923,20230322000844,20240320001057,20250319001022
00125488,삼륭물산,014970,20210330000019,20220322000992,20230321000886,20240320000719,20250320000980
00260879,카페24,042000,20210322000391,20220322000966,20230322001290,20240319000880,20250317001021
00861100,아이케이세미콘,149010,20210323000174,20220323000260,20230323000955,20240321001880,20250321000195
00304915,코리아에셋투자증권,190650,20200629000379,20210622000164,20220622000380,20230622000218,20240620000167
00362159,웰크론,065950,20210318000719,20220317000775,20230316001214,20240314001384,20250318001051
01293388,무진메디,322970,20210322000597,20220322000133,20230322000309,20240320001073,20250319000757
01311286,퀀타매트릭스,317690,20210323001020,20220323000754,20230323001002,20240321001073,20250320000758
00606886,엔지켐생명과학,183490,20210323000637,20220323001174,20230321000772,20240320000827,20250318000840
01394377,이지스밸류플러스리츠,334890,20201130000858,20210510000378,20220519000307,20230516000272,20240523000340
00118008,동원금속,018500,20200629000448,20210621000217,20220620000208,20230620000249,20240619000177
00132354,쿠쿠홀딩스,192400,20210322000722,20220323001044,20230322001230,20240318000652,20250317000970
00159254,한국전자홀딩스,006200,20210323000993,20220325001334,20230322001138,20240320001519,20250319001004
00367385,효성오앤비,097870,20200928000067,20210917000113,20220921000091,20230919000347,20240919000173
00632793,전진바이오팜,110020,20210312001111,20220314001129,20230321001248,20240321001488,20250311001175
01366824,제이엠멀티,254160,20211217000434,20220322000920,20230321000962,20240319000710,20250429000919
00168401,금비,008870,20201229000327,20211216000453,20221215000437,20231214000541,20241219000451
01407909,원텍,336570,20210308000324,20220316000610,20230316000452,20240318000269,20250319000372
00648721,SNT에너지,100840,20210218000901,20220218001091,20230220001550,20240221001901,20250220001320
01208849,나인테크,267320,20210319001263,20220321000904,20230321000985,20240320001954,20250321000551
00530185,이엔에프테크놀로지,102710,20210322001056,20220321001292,20230321001496,20240318000888,20250317000794
01187458,에스알바이오텍,270210,20210323001160,20220321000662,20230323001231,20240320000695,20250319000677
01046708,바디텍메드,206640,20210319000727,20220318000977,20230320000601,20240318000273,20250317000430
00298687,스포츠서울,039670,20200821000186,20210622000382,20220629000335,20230629000239,20240628000438
00688358,하이즈항공,221840,20210316000642,20220323000304,20230315001267,20240318000733,20250318001167
00599151,SV인베스트먼트,289080,20200629000517,20210617000341,20220616000341,20230622000275,20240620000411
00347877,세영디앤씨,052190,20210323001177,20220323001134,20230323001122,20240321000531,20250321000834
00964595,엔바이오니아,317870,20210322001014,20220322001112,20230322001050,20240321001691,20250320000717
01415892,제이알글로벌리츠,348950,20200928000281,20210917000564,20220922000324,20230918000248,20240913000664
00523936,HB솔루션,297890,20210316001078,20220321000973,20230321001504,20240320001069,20250318001052
00111458,대영포장,014160,20210318000495,20220322000312,20230322000585,20240321000763,20250320001314
00218575,황금에스티,032560,20210318001409,20220321000623,20230320000391,20240320000874,20250318001129
00991191,앱클론,174900,20210319000547,20220321000138,20230317000770,20240318000587,20250321000890
00245694,남화산업,111710,20210312000393,20220318000177,20230317000360,20240318000233,20250317000237
00134316,세원정공,021820,20230228006838,20230228006856,20230228006867,20230919000247,20240919000288
00139685,양지사,030960,20200928000220,20210928000476,20220928000022,20231004000111,20240930000673
00103042,케이씨티시,009070,20210318000350,20220317000546,20230316001262,20240314001294,20250313001313
00830447,수프로,185190,20200629000122,20210621000120,20220621000242,20230621000025,20240620000176
01267684,쿠쿠홈시스,284740,20210319000010,20220322001148,20230320001105,20240320001937,20250320000004
00975290,에이스토리,241840,20210319000884,20220321000998,20230321000923,20240321001572,20250320001255
00867973,서남,294630,20210317000713,20220318000601,20230320000787,20240320000853,20250318000674
00828761,레이,228670,20210323000115,20220318000245,20230321000746,20240321000732,20250314001740
00104698,LS네트웍스,000680,20210322000733,20220317000748,20230316000757,20240320001453,20250319001010
00122348,방림,003610,20201229000102,20211222000216,20221222000135,20231221000198,20241219000406
01264438,자이언트스텝,289220,20210331001612,20220316001136,20230321000957,20240320001482,20250321001478
00170877,진로발효,018120,20210318000824,20220318001079,20230317000937,20240320001785,20250319001021
00963000,썬테크,217320,20210319000448,20220318000800,20230321001078,20240320001438,20250317000704
01021949,덱스터,206560,20210318001328,20220317001217,20230322001210,20240319000837,20250320001205
