year,corp_code,corp_name,dr,dur,tenor,is_range,best_grade,best_spot,dr_diff
2020,00126937,삼양홀딩스,2.2,8.0,8.0,False,AA,2.316273,-0.11627299999999963
2020,00127699,유네코,2.85,10.15,10.0,False,AA,2.781623,0.06837699999999991
2020,00127802,삼익THK,2.96,9.96,10.0,False,AA,2.781623,0.17837699999999979
2020,00127954,CJ프레시웨이,2.175,5.32,5.5,False,AA-,1.972961,0.20203899999999986
2020,00128111,포스코엠텍,2.35,8.02,8.0,False,AA,2.316273,0.033727000000000285
2020,00128315,삼지전자,2.825,9.16,9.0,False,AA-,2.888923,-0.06392299999999995
2020,00128412,삼진제약,2.11,8.66,8.5,False,AA+,2.140315,-0.030315000000000314
2020,00128971,디엘건설,2.82,7.28,7.5,False,AA-,2.455797,0.36420299999999983
2020,00129271,삼화전기,2.81,7.43,7.5,False,AA-,2.455797,0.35420300000000005
2020,00129642,상신브레이크,3.11,8.35,8.5,False,AA-,2.742509,0.3674909999999998
2020,00129679,녹십자,2.11,8.365,8.5,False,AA+,2.140315,-0.030315000000000314
2020,00130383,서부T&D,1.98,10.46,10.5,False,AAA,2.018725,-0.0387249999999999
2020,00130587,서울전자통신,1.98,10.6,10.5,False,AAA,2.018725,-0.0387249999999999
2020,00131018,서울제약,2.87,9.3,9.5,False,AA-,3.037625,-0.1676249999999997
2020,00131850,SK증권,2.22,6.63,6.5,False,AA-,2.200024,0.019976000000000216
2020,00132354,쿠쿠홀딩스,2.825,9.73,9.5,False,AA,2.663029,0.1619710000000003
2020,00133089,성원,2.698,7.681,7.5,False,AA-,2.455797,0.24220299999999995
2020,00133858,세방전지,2.37,9.21,9.0,False,AA+,2.21074,0.15926000000000018
2020,00134963,송원산업,2.9,11.1,11.0,False,AA,2.889525,0.010475000000000012
2020,00135050,팜젠사이언스,2.25,7.415,7.5,False,AA,2.203322,0.046678
2020,00135999,신라섬유,1.7,9.18,9.0,False,AAA,1.921241,-0.22124100000000002
2020,00136165,스페코,2.68,7.5,7.5,False,AA-,2.455797,0.22420300000000015
2020,00136457,SH에너지화학,1.81,7.97,8.0,False,AAA,1.845682,-0.03568199999999999
2020,00137012,에스앤더블류,1.9,9.2,9.0,False,AAA,1.921241,-0.021241000000000065
2020,00137289,이엘씨,2.09,10.3,10.5,False,AAA,2.018725,0.07127499999999998
2020,00137456,신한캐피탈,3.17,13.58,13.5,False,AA,3.171568,-0.0015680000000002359
2020,00137517,신한라이프생명보험,2.72,11.2,11.0,False,AA,2.889525,-0.1695249999999997
2020,00137809,SHD,2.34,8.3,8.5,False,AA,2.430471,-0.09047099999999997
2020,00138242,KG모빌리티,2.4,10.5,10.5,False,AA+,2.383682,0.016318000000000055
2020,00138303,아이티센엔텍,2.45,7.775,8.0,False,AA,2.316273,0.13372700000000037
2020,00138367,플레이위드,1.98,10.59,10.5,False,AAA,2.018725,-0.0387249999999999
2020,00139764,에넥스,2.0,8.28,8.5,False,AAA,1.883338,0.11666200000000004
2020,00140052,에이스침대,2.48,3.37,3.5,False,AA-,1.491133,0.9888669999999999
