CIK,dbo_eid,dbo_label,dbo_label_raw,dbo_val,net_eid,net_val,has_ifrs_dbo,ifrs_dbo_val,has_pa,pa_val,has_dim,has_cal_net,dbo_type,anomaly
00495086,entity00495086_NonCurrentNetDefinedBenefitLiabilityOfNoncurrentLiabilities,순확정급여부채,순확정급여부채,201467724.0,entity00495086_NonCurrentNetDefinedBenefitLiabilityOfNoncurrentLiabilities,201467724.0,False,,False,,False,True,순액(cal검증),
00495554,dart_PostemploymentBenefitObligations,퇴직급여부채,퇴직급여부채,142822723.0,dart_PostemploymentBenefitObligations,142822723.0,False,,False,,False,False,순액추정(퇴직급여부채),
00495633,dart_PostemploymentBenefitObligations,퇴직급여부채,퇴직급여부채,463299087.0,dart_PostemploymentBenefitObligations,463299087.0,False,,False,,False,False,순액추정(퇴직급여부채),
00498001,dart_PostemploymentBenefitObligations,퇴직급여부채,퇴직급여부채,50084269337.0,dart_PostemploymentBenefitObligations,50084269337.0,False,,False,,False,False,순액추정(퇴직급여부채),
00500254,ifrs-full_DefinedBenefitObligationAtPresentValue,"확정급여채무,현재가치","확정급여채무, 현재가치",539470000000.0,ifrs-full_LiabilityAssetOfDefinedBenefitPlans,-71192000000.0,True,539470000000.0,True,610662000000.0,True,False,총액(DBO매핑≈IFRS_DBO),
00501970,dart_PostemploymentBenefitObligations,퇴직급여부채,퇴직급여부채,52159553.0,dart_InvestedAssetForPostemploymentBenefit,0.0,False,,False,,False,False,순액추정(퇴직급여부채),
00503668,ifrs-full_DefinedBenefitObligationAtPresentValue,"확정급여채무,현재가치","확정급여채무, 현재가치",338576471000.0,ifrs-full_LiabilityAssetOfDefinedBenefitPlans,338576471000.0,True,338576471000.0,True,370384508000.0,True,False,총액(DBO매핑≈IFRS_DBO),
00508344,ifrs-full_DefinedBenefitObligationAtPresentValue,"확정급여채무,현재가치","확정급여채무, 현재가치",10930134824.0,ifrs-full_NoncurrentRecognisedAssetsDefinedBenefitPlan,1869727170.0,True,10930134824.0,True,12799861994.0,True,False,총액(DBO매핑≈IFRS_DBO),
00513948,ifrs-full_RecognisedLiabilitiesDefinedBenefitPlan,순확정급여부채,순확정급여부채,1116242699.0,ifrs-full_RecognisedAssetsDefinedBenefitPlan,0.0,False,,False,,False,False,순액(레이블),
00516246,dart_PresentValueOfDefinedBenefitObligation,확정급여부채,확정급여부채,2328036490.0,dart_PresentValueOfDefinedBenefitObligation,2328036490.0,False,,False,,False,False,판별불가,
00520610,,,,,dart_InvestedAssetForPostemploymentBenefit,145465646.0,False,,False,,False,False,NetDBO만,
00520887,,,,,dart_InvestedAssetForPostemploymentBenefit,2965455255.0,False,,False,,False,False,NetDBO만,
00521390,dart_PostemploymentBenefitObligations,확정급여채무,확정급여채무,929148281.0,dart_PostemploymentBenefitObligations,929148281.0,False,,False,,False,False,총액추정(레이블),
00522007,ifrs-full_DefinedBenefitObligationAtPresentValue,"확정급여채무,현재가치","확정급여채무, 현재가치",3204762000.0,ifrs-full_LiabilityAssetOfDefinedBenefitPlans,-3169014000.0,True,3204762000.0,True,3167678000.0,True,False,총액(DBO매핑≈IFRS_DBO),
00523176,dart_PostemploymentBenefitObligations,퇴직급여부채,퇴직급여부채,1551410671.0,dart_PostemploymentBenefitObligations,1551410671.0,False,,False,,False,False,순액추정(퇴직급여부채),
00523307,ifrs-full_DefinedBenefitObligationAtPresentValue,"확정급여채무,현재가치","확정급여채무, 현재가치",13529919000.0,ifrs-full_NoncurrentRecognisedLiabilitiesDefinedBenefitPlan,2497174941.0,True,13529919000.0,True,-11032744000.0,True,False,총액(DBO매핑≈IFRS_DBO),
00524421,,,,,ifrs-full_RecognisedAssetsDefinedBenefitPlan,5426038656.0,False,,False,,False,False,NetDBO만,
00525642,dart_PostemploymentBenefitObligations,종업원급여부채,종업원급여부채,6994057472.0,dart_PostemploymentBenefitObligations,6994057472.0,False,,False,,False,False,오분류의심,WRONG_LABEL
00525679,dart_PostemploymentBenefitObligations,순확정급여부채,순확정급여부채,7748198934.0,dart_PostemploymentBenefitObligations,7748198934.0,False,,False,,False,False,순액(레이블),
00525864,dart_PostemploymentBenefitObligations,순확정급여부채,순확정급여부채,1079990896.0,dart_PostemploymentBenefitObligations,1079990896.0,False,,False,,False,False,순액(레이블),
00525882,dart_PresentValueOfDefinedBenefitObligation,확정급여채무의현재가치,확정급여채무의현재가치,7755675340.0,dart_PresentValueOfDefinedBenefitObligation,7755675340.0,False,,False,,False,False,총액추정(레이블),
00525934,ifrs-full_DefinedBenefitObligationAtPresentValue,"확정급여채무,현재가치","확정급여채무, 현재가치",76275678979.0,ifrs-full_LiabilityAssetOfDefinedBenefitPlans,-82070802814.0,True,76275678979.0,True,82070802814.0,True,False,총액(DBO매핑≈IFRS_DBO),
00526599,ifrs-full_DefinedBenefitObligationAtPresentValue,"확정급여채무,현재가치","확정급여채무, 현재가치",18065799000.0,ifrs-full_NoncurrentRecognisedLiabilitiesDefinedBenefitPlan,300064774.0,True,18065799000.0,True,17765734000.0,True,False,총액(DBO매핑≈IFRS_DBO),
00526678,dart_PostemploymentBenefitObligations,순확정급여부채,순확정급여부채,232784168.0,dart_PostemploymentBenefitObligations,232784168.0,False,,False,,False,False,순액(레이블),
00526696,dart_PostemploymentBenefitObligations,순확정급여부채,순확정급여부채,3769646454.0,dart_PostemploymentBenefitObligations,3769646454.0,False,,False,,False,False,순액(레이블),
00526836,ifrs-full_RecognisedLiabilitiesDefinedBenefitPlan,순확정급여부채,순확정급여부채,857647907.0,ifrs-full_RecognisedAssetsDefinedBenefitPlan,591863345.0,False,,False,,False,False,순액(레이블),
00526872,dart_PostemploymentBenefitObligations,퇴직급여채무,퇴직급여채무,5147532602.0,dart_PostemploymentBenefitObligations,5147532602.0,False,,False,,False,False,판별불가,
00526951,dart_PostemploymentBenefitObligations,퇴직급여부채,퇴직급여부채,4533574095.0,dart_PostemploymentBenefitObligations,4533574095.0,False,,False,,False,False,순액추정(퇴직급여부채),
00527002,dart_PostemploymentBenefitObligations,퇴직급여부채,퇴직급여부채,3052257179.0,dart_PostemploymentBenefitObligations,3052257179.0,False,,False,,False,False,순액추정(퇴직급여부채),
00527491,dart_PostemploymentBenefitObligations,퇴직급여부채,퇴직급여부채,286422857.0,dart_InvestedAssetForPostemploymentBenefit,106485704.0,False,,False,,False,False,순액추정(퇴직급여부채),
00528791,dart_PostemploymentBenefitObligations,퇴직급여부채,퇴직급여부채,4721068425.0,dart_PostemploymentBenefitObligations,4721068425.0,False,,False,,False,False,순액추정(퇴직급여부채),
00529815,dart_PostemploymentBenefitObligations,순확정급여채무,순확정급여채무,93597417.0,dart_PostemploymentBenefitObligations,93597417.0,False,,False,,False,False,순액(레이블),
00530121,dart_PostemploymentBenefitObligations,퇴직급여부채,퇴직급여부채,810487264.0,dart_PostemploymentBenefitObligations,810487264.0,False,,False,,False,False,순액추정(퇴직급여부채),
00530413,dart_PostemploymentBenefitObligations,퇴직급여부채,퇴직급여부채,0.0,dart_PostemploymentBenefitObligations,0.0,False,,False,,False,True,순액(cal검증),ZERO_VAL
00530556,dart_PostemploymentBenefitObligations,퇴직급여부채,퇴직급여부채,1615351085.0,dart_PostemploymentBenefitObligations,1615351085.0,False,,False,,False,False,순액추정(퇴직급여부채),
00531014,dart_PostemploymentBenefitObligations,순확정급여부채,순확정급여부채,12518558923.0,dart_PostemploymentBenefitObligations,12518558923.0,False,,False,,False,False,순액(레이블),
