CIK,DBO_2022,PA_2022,DBO_2023,PA_2023,DBO_2024,PA_2024,tier,outlier_flag,growth_2022,growth_2023,growth_2024
00877059,146731850000.0,176378081000.0,186056816875.0,201527360200.0,228854513006.0,234527128195.0,3_중소형,,1.0,1.2680056639032358,1.5596785088309049
00878696,,,17201579000.0,19866952000.0,20552516000.0,22664844000.0,,,,,
00888347,,,13565153000.0,14916619000.0,15019194000.0,15377498000.0,,,,,
00896285,94675000000.0,111951000000.0,103806000000.0,112850000000.0,103692000000.0,109869000000.0,3_중소형,,1.0,1.0964457354106152,1.0952416160549248
00897752,,,4301566730.0,4395154431.0,5554284414.0,4188854120.0,,,,,
00904672,83366685000.0,-91213252000.0,95921578000.0,-100850026000.0,104646852000.0,-99745157000.0,3_중소형,,1.0,1.150598443490946,1.2552598439052722
00936787,,,41884644000.0,41282191000.0,43883470000.0,42324104000.0,,,,,
00937324,428722796035.0,511102864667.0,428722796035.0,511102864667.0,492224263000.0,502692739000.0,2_중형,,1.0,1.0,1.148117775756939
00939331,,,153738386000.0,175332213000.0,175359784000.0,196602575000.0,,,,,
00956930,,,123912368000.0,145823741000.0,141441545000.0,151534709000.0,,,,,
00983040,36625240000.0,35902377000.0,41694866000.0,41069145000.0,44827881000.0,41438540000.0,4_소형,,1.0,1.1384189154801443,1.2239614266008905
00983271,,,103882381000.0,21459222000.0,116287897000.0,26072239000.0,,,,,
00990165,,,69393798000.0,65177627000.0,74401622000.0,73608794000.0,,,,,
01009789,,,71302489257.0,12179277979.0,95019088080.0,17102741761.0,,,,,
01010110,,,13990734959.0,16595240285.0,16386212156.0,18391443508.0,,,,,
01010642,,,20021576000.0,25194703000.0,21647351000.0,20472245000.0,,,,,
01012066,,,68266947000.0,76258646000.0,78765846000.0,82268430000.0,,,,,
01020843,,,9940662000.0,14792377000.0,11113793000.0,14340011000.0,,,,,
01026157,,,8909757000.0,7832584000.0,10059311000.0,9006165000.0,,,,,
01032404,,,21153213000.0,-21894252000.0,27070305000.0,26858369000.0,,,,,
01032413,,,44487921000.0,54507159000.0,52150766000.0,59221219000.0,,,,,
01042775,348058346000.0,421517932000.0,393482717000.0,444308476000.0,435966329000.0,469996374000.0,2_중형,,1.0,1.130507920646155,1.2525668009696282
01060744,95583000000.0,84956000000.0,106346000000.0,94703000000.0,113230000000.0,105058000000.0,3_중소형,,1.0,1.1126037056798803,1.184624880993482
01060814,,,26693558000.0,28060552000.0,25011248000.0,26671131000.0,,,,,
01067516,,,986338000.0,954394000.0,140481000.0,0.0,,EXTREME_CHANGE,,,
01074862,,,37950331000.0,-40733114000.0,44038641000.0,-44821002000.0,,,,,
01090471,,,5528854834.0,-3110502695.0,7920372641.0,-7212047831.0,,,,,
01095722,,,128829449900.0,54419802390.0,145501923180.0,55912275656.0,,,,,
01159233,,,12674633000.0,14113986000.0,21043307000.0,14424874000.0,,,,,
01160363,34704433000.0,17294380000.0,51470349000.0,34221931000.0,71305128000.0,55182108000.0,4_소형,,1.0,1.483105890247508,2.054640339463261
01168383,,,71249291000.0,9063811000.0,73888548000.0,7738102000.0,,,,,
01168684,,,217852260000.0,229518943000.0,237190553000.0,225734484000.0,,,,,
