corp_code,rcept_2020,rcept_2021,rcept_2022,rcept_2023,rcept_2024,corp_name,rcept_2025
00106623,20210316000797,20220315001247,20230314000727,20240329002076,20250313000158,현대위아,20260317000785
00106641,20211210000500,20220321000650,20230309000734,20240312000909,20250313001390,기아,20260312001224
00106669,20210311000591,20220317000967,20230321001452,20240312000629,20250318000465,세아베스틸지주,20260316001503
00106720,20210331002704,20220331001640,20230331004389,20240329002536,20250328002149,기흥관광개발,
00106881,20210419000150,20220317001075,20230316001226,20240321001639,20250320001282,인디에프,20260319000445
00107066,20210319000418,20220322000463,20230712000089,20240320000911,20250814001709,남광토건,20260323000403
00107224,20210322000948,20220322000939,20230322000952,20240604000282,20250320001238,남선알미늄,20260323001569
00107303,20211207000036,20220331001701,20230418000113,,,피엔에스커튼월,
00107598,20210318001132,20220408002890,20230323001233,20240321001747,20250328000090,남양유업,20260319001235
00107613,20210405003044,20220323001140,20230323001183,20240321001149,20250321001007,이수페타시스,20260323000847
00107677,20210817001926,20220323000957,20230323000796,20240321001726,20250321001351,비비안,20260323001209
00107987,20210316000430,20220317000080,20230316001430,20240314001607,20250320001558,남해화학,20260319000635
00108001,20210315000699,20220512000474,20230320000755,20240320000806,20250318001306,남화토건,20260318001350
00108038,20210323000416,20220323001097,20230323001360,20240321001040,20250321001553,엔피씨,20260323001210
00108065,20230718000283,20230718000294,20230718000308,20240328001105,20250327000516,에코바이브,
00108135,20210317001235,20220321001417,20230321001200,20240320001805,20250318001422,녹십자홀딩스,20260318000995
00108241,20210317000609,20220317000469,20230316000448,20240314000698,20250312000711,농심,20260311003892
00108302,20210331002646,20220331002497,20230331004453,20240329002518,20250328002246,뉴경기관광,
00108490,20210322000670,20220322000414,20230322000650,20240319000401,20250319000630,엔피케이,20260319000658
00108533,20210331000079,20220331000102,20230428000097,20240429001331,20250429000967,다산,
00108612,,,,20240320000618,20250321001800,DS단석,20260323000702
00108649,20210319001329,20220321000956,20230321001218,20240320000927,20250318001007,TPC,20260319000001
00108746,20210317000619,20220316000975,20230317000466,20250320001662,20250812000680,DKME,20260323001408
00108913,20210318001424,20220725000180,20230713000378,20240314001769,20250819000071,대교,20260318001633
00108940,20211123000317,20220323000894,20230321001010,20240319000714,20250320000999,대성홀딩스,20260323001166
00108977,20210318000578,20220317000591,20230412001808,20240321000387,20250321000349,대구백화점,20260323000628
00109019,20210331002897,20220317001229,20230322000457,20240320001434,20250318001043,아이엠뱅크,20260318001111
00109037,20210322000743,20220322000327,20230322000861,20240321000960,20250319001089,대성창투,20260320000743
00109107,20210331002774,20220331000519,20230331003251,20240329003065,20250331003793,대농,
00109161,20210318001386,20220816000755,20230314000862,20240314001217,20250318000825,태경케미컬,20260317000715
00109189,20210318001367,20220317001186,20230316001303,20240321001788,20250320001383,대덕,20260319001087
00109268,20210326000238,20220321001075,20230321001216,20241220000401,20250318000272,대동스틸,20260318000232
00109286,20210318001361,20220317001231,20230322000832,20240320002054,20250318001356,대동,20260318001552
00109310,20210309000202,20220315000091,20230314000231,20240312000381,20250314000238,대동기어,20260317000606
00109453,20210325000123,20220329000220,20230322000174,20240328000369,20250327000272,케이조선,
00109514,20210319000958,20220323000447,20230323000588,20240321001723,20250321001276,티웨이홀딩스,20260323001343
00109587,20210318000793,20220317000749,20230316000795,20240314001264,20250313001272,대륙제관,20260319000299
00109693,20210405003117,20230728000642,20230728000644,20240329002623,20250317000751,DL,20260318000970
00109718,20210318001107,20220929000312,20230315001368,20240313001702,20250312000891,사조대림,20260318001283
00109754,20210318001112,20220317001239,20230323001091,20240321001994,20250321001769,대림바스,20260319001199
00109781,20210318001270,20220321000653,20230323000487,20240321000889,20250320000731,대림제지,20260318001548
00109806,20210322000931,20220328000445,20230321001368,20240321000414,20250320001188,삼일씨엔에스,20260323000312
00109824,20210318001276,20220323000843,20230322000569,20240321001877,20250320001663,대림통상,20260319001328
00110051,20210323000872,,,,,에스케이머티리얼즈,
00110060,20210329000258,20220330000204,20230330000271,20240328000952,20250328000759,대백저축은행,
00110307,20210329000187,20220310000065,20230327000179,20240328001166,20250327000929,대선조선,
00110431,20210831001909,20220321001315,20230321001152,20240318000797,20250319000611,JW신약,20260318001271
00110547,20210331003116,20220331002641,20230330001723,20240327001061,20250331002147,링세오코리아,
00110583,20210331000765,20220323001239,20230322001327,20240403003408,20250321000004,DH오토웨어,
00110608,20210319001229,20220322000343,20230320000736,20240321001104,20250227006937,DSR,20260319001193
00110750,20200629000245,20220622000196,20230321001158,20240320001311,20250814002407,플루토스,20260320000002
00110875,20200828000536,20210610000250,20220609000304,20230810000089,20240613000108,대신정보통신,20260213000282
00110884,20210402002682,20220331000002,20230320000759,20240726000366,20250320001083,엠젠솔루션,20260320000990
00110893,20210311001204,20220516001812,20230316001545,20240313001187,20250813001479,대신증권,20260319000718
00111111,20220422000699,20220316001358,20230322000926,20240320001622,20250731000398,대양금속,20260319001294
00111193,20210311000934,20220722000185,20230321001177,20240320001224,20250318001187,대양전기공업,20260323001662
00111218,20210531001029,20220323001362,20230324000007,20240321002041,20250320001744,KD,20260323001731
00111227,20210419000484,20220322000683,20230322000806,20240321001628,20250331002969,대양제지공업,
00111421,20210317001215,20220308000872,20230313000533,20240311000760,20250310000706,휴니드테크놀러지스,20260319001066
00111458,20210318000495,20220322000600,20230322000585,20240321000763,20250320001314,대영포장,20260319001078
00111689,20210325000667,20220323001221,20230321001100,20240319000483,20250321001016,아진전자부품,20260323001496
00111704,20210317001184,20220314001167,20230313000849,20240328000773,20250314001630,한화오션,20260317000644
00111722,20210316000896,20220316001023,20230315001134,20240318000604,20250814004060,미래에셋증권,20260317000237
00111810,20210318001277,20220321000991,20230321000752,20240320001160,20250814004337,대웅,20260318001178
00111838,20210330001172,20220322001045,20230321001295,20240320001788,20250320000690,대원,20260319001150
00111847,20210318000163,20220317000256,20230324000880,20240315000516,20250814001679,대원강업,20260318001323
00111874,20210318001203,20220317000892,20230323001275,20240314001565,20250320000948,대원산업,20260312001127
00111999,20210416000487,20220317001141,20230317000005,20240314001399,20250320001537,대원제약,20260318001398
00112004,20210331003040,20220331003478,20230331004251,20240329003251,20250331004016,알바이오,
00112022,20210507000170,20220816001036,20230316001139,20240321001056,20250320001317,대원화성,20260318000817
00112059,20210319001225,20220321001270,20230321001175,20240321001758,20250318001083,상상인증권,20260318000969
00112165,20210319001310,20220318000617,20230317000518,20240315000327,20250321001173,디아이씨,20260320001046
00112332,20210317000982,20221017000313,20230317001035,20240430001080,20250814003144,미래에셋생명,20260318001664
00112378,20210322000894,20220518000138,20230322001182,20240321002062,20250319000576,KR모터스,20260320001257
00112457,20210317000846,20220321000775,20230320000913,20240320001261,20250318000629,대주산업,20260318001116
00112651,20210316000786,20220322000499,20230321001144,20240319000397,20250318001233,대창,20260318001018
00112679,20210318000405,20220930000113,20230323000406,20240321000893,20250320000634,대창단조,20260319000402
00112721,20210323000633,20220323000648,20230322001133,20240321001151,20250321000820,대창스틸,20260323000588
00112819,20210331002716,20220331002264,20230323000825,20240321001422,20250320001364,데코앤에프,20260320001021
00112873,20210331001550,20220331002406,20230331002870,20240401004176,20250331002876,미래엔,
00112882,20210706000408,20220331003267,20230331004194,20240430000629,20250515002959,교보생명보험,
00112970,20210329000181,20220328001072,20230316001199,20240314001520,20250814002484,대한방직,20260319001239
00112998,,,,,20250324000440,서울보증보험,20260323000639
00113058,20210305000803,20220316001424,20230315001327,20240430000873,20250331003702,한화생명,20260316001304
00113128,20210316000540,20220321000548,20230317000898,20240320000471,20250318000608,대한약품,20260318001361
00113191,20210331000155,20220816002265,20230323001465,20240430001103,20250331003380,코리안리,20260319001095
00113207,20210318001288,20220322001052,20230322001136,20240321001692,20250325001056,대한전선,20260318001418
00113225,20210318000302,20220317000844,20230331003410,20240314001065,20250320000395,대한제강,20260318000780
00113234,20210419000297,20220317000728,20230316001046,20240314001234,20250313001084,대한제당,20260319000542
00113243,20210318001080,20220317001052,20230316001412,20240510001061,20250313001408,대한제분,20260319001278
00113261,20210316000886,20220317000955,20230316001376,20240321001763,20250320001578,대한광통신,20260319000854
00113359,20210326001145,20220315000921,20230314000692,20240314001518,20250313000901,교보증권,20260317000550
00113410,20210319001047,20220318000927,20230317000857,20240320001789,20250317001020,CJ대한통운,20260316001417
00113465,20211115002372,20220317000821,20230316000693,20240314001208,20250515000733,하나증권,20260316001131
00113492,20210317001261,20220325001053,20230316000673,20240401001062,20250320000849,깨끗한나라,20260319000486
00113508,20210318001087,20220317000717,20230316001033,20240321001014,20250814002541,노루홀딩스,20260312001302
00113526,20210318001404,20220315001120,20230314000740,20240313001650,20250318001334,대한항공,20260318001125
00113535,20210322000956,20220322000863,20230322001051,20240321001983,20250320001093,대한해운,20260320001138
00113544,20210318001220,20220323001348,20230323001351,20240321001909,20250814002004,대한화섬,20260318001465
00113562,20210323001100,20220323000792,20230323001495,20240430001079,20250424000557,롯데손해보험,20260319001293
00113614,20210419000142,20220317000488,20230316001384,20240329000905,20250321001236,대현,20260319001075
00113997,20210323001108,20220318001055,20230323001050,20240315000794,20250314001597,롯데에너지머티리얼즈,20260310002974
00114093,20210319000522,20220318000680,20230317000725,20240318000444,20250317000503,덕성,20260318000948
00114154,20210609000312,20220404002273,20230320000948,20240318000799,20250317000666,디와이덕양,20260317000660
00114552,20210310000190,20220310000616,20230316001141,20240314001211,20250813001273,도화엔지니어링,20260316001627
00114686,20210317000527,20220323000175,20230320000852,20240320001506,20250318001200,동구바이오제약,20260323001024
00114765,20210323000916,20220323000961,20230323001211,20240321000932,20250319000773,케이비아이동국실업,20260317000470
00114792,20210326000255,20220324000882,20230316001310,20240329002513,20250318001457,동국홀딩스,20260318000823
00114808,20210311001130,20220317001170,20230316001371,20240314001722,20250313001454,동국제약,20260312001256
00115065,20210316000282,20220808000217,20230314001293,20240312000423,20250311000605,동남합성,20260318000382
00115287,20210707000184,20220317001208,20230323001509,20240321001580,20250320001398,동방,20260319001296
00115384,20210311000942,20220317000463,20230316000733,20240314000783,20250313000657,동방아그로,20260312000569
00115472,20210324000073,20220325000064,20230324000030,20240326000476,20250327000025,미주제강,
00115612,20210423000012,20220713000108,20230314001212,20240318000506,20250812000691,동부건설,20260316001362
00115676,20210311001031,20220316001244,20230315000071,20240326000399,20250318001327,KG스틸,20260316001588
00115694,20210322000945,20220316001241,20230321001219,20240318000925,20250317000605,DB증권,20260318000876
00115931,20210305000233,20220708000589,20230317000641,20240315000067,20250331000557,디오,20260306000812
00115977,20210318001311,20220317001305,20230323001296,20240321001950,20250319001050,아이에스동서,20260318001565
00116073,20210331000332,20220331000225,20230331002168,20240401001728,20250331000382,그린기술투자,
00116268,20210319000344,20220328000201,20230331003352,20240315000555,20250321001375,동성제약,20260323001052
00116301,20210311000847,20220310001141,20230316000724,20240314000638,20250313000820,NI스틸,20260312001308
00116356,20210316001101,,,,,동성화학,
00116408,20210326001141,20220318000386,20230317000938,20240319000396,20250319001068,동신건설,20260319000378
00116426,20250320001271,20250124000699,20230320000372,20240320001102,20250320001298,이렘,20260318001654
00116806,20210331002482,20220331000080,20230331001184,20240329002301,20250321000556,하스코,
00116824,20210319001153,20220318000656,20230321001017,20240320001846,20250321001899,동아쏘시오홀딩스,20260318001307
00116949,20210323000549,20220321001500,20230322001200,20240315000015,20250313001452,DN오토모티브,20260312001285
00117027,20210318000933,20220318000527,20230320000703,20240320001063,20250318000832,알루코,20260318001554
00117072,20210331001581,20220331002273,20230331003874,20240401003945,20250331003981,동양건설산업,
00117179,20210317000774,20220316000565,20230315001400,20240313001243,20250312001047,디와이,20260318001042
00117188,20210324000507,20220310001203,20230309000903,20240315000695,20250313001006,효성,20260312000976
00117212,20241002000389,20220322000813,20230321001440,20240320001953,20250814002379,두산,20260323000945
00117230,20210319000739,20220321001204,20230322001174,20240321000848,20250319000651,TYM,20260318001226
00117258,20210331000627,,,,,한화갤러리아타임월드,
00117267,20210520000233,20220323001093,20230322001102,20240430000184,20250331000321,동양생명,20260313001227
00117276,20210319001110,20220318001047,20230323001021,20240321001729,20250319000970,네이처셀,20260323001523
00117300,20210319000905,20220812000477,20230316000854,20240320000816,20250319000643,TCC스틸,20260318000366
