CIK,corp_name,stock_code,report_nm,rcept_no,url
00125664,삼미금속,012210,[기재정정]사업보고서 (2024.12),20250327000681,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250327000681
00126256,삼성생명,032830,[기재정정]사업보고서 (2024.12),20250331004004,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250331004004
00126292,삼성카드,029780,사업보고서 (2024.12),20250312000920,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250312000920
00126779,삼아알미늄,006110,사업보고서 (2024.12),20250313001287,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250313001287
00126788,삼아제약,009300,사업보고서 (2024.12),20250320001308,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250320001308
00127909,삼일,032280,사업보고서 (2024.12),20250314001041,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250314001041
00128111,포스코엠텍,009520,사업보고서 (2024.12),20250313001212,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250313001212
00128607,삼천리자전거,024950,사업보고서 (2024.12),20250313000648,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250313000648
00128926,삼현철강,017480,사업보고서 (2024.12),20250310000287,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250310000287
00128971,디엘건설,001880,[기재정정]사업보고서 (2024.12),20250314001622,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250314001622
00129013,CJ씨푸드,011150,사업보고서 (2024.12),20250317000808,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250317000808
00129235,삼화왕관,004450,사업보고서 (2024.12),20250320000947,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250320000947
00129271,삼화전기,009470,사업보고서 (2024.12),20250313000817,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250313000817
00129350,삼화콘덴서공업,001820,사업보고서 (2024.12),20250313000953,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250313000953
00129509,한익스프레스,014130,사업보고서 (2024.12),20250319000814,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250319000814
00130587,서울전자통신,027040,사업보고서 (2024.12),20250320001197,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250320001197
00131850,SK증권,001510,사업보고서 (2024.12),20250319001113,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250319001113
00132725,SB성보,003080,사업보고서 (2024.12),20250318000798,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250318000798
00135917,한화손해보험,000370,[기재정정]사업보고서 (2024.12),20250331003267,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250331003267
00136004,신라에스지,025870,사업보고서 (2024.12),20250312000927,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250312000927
00136101,메이슨캐피탈,,N/A,,
00136448,신신제약,002800,사업보고서 (2024.12),20250318000443,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250318000443
00136624,신영와코루,005800,사업보고서 (2024.12),20250313000876,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250313000876
00136642,에스유앤피,019590,[기재정정]사업보고서 (2024.12),20250721000024,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250721000024
00137359,신풍제약,019170,[첨부추가]사업보고서 (2024.12),20250320000996,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250320000996
00137368,신풍,002870,[기재정정]사업보고서 (2024.12),20250813000090,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250813000090
00137456,신한캐피탈,,사업보고서 (2024.12),20250331000197,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250331000197
00137517,신한라이프생명보험,,[기재정정]사업보고서 (2024.12),20250331002957,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250331002957
00138020,SK실트론,,사업보고서 (2024.12),20250331002058,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250331002058
00138057,써니전자,004770,사업보고서 (2024.12),20250317000934,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250317000934
00138446,아가방컴퍼니,013990,[기재정정]사업보고서 (2024.12),20250812000252,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250812000252
00139214,삼성화재해상보험,000810,[기재정정]사업보고서 (2024.12),20250328001868,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250328001868
00140131,키다리스튜디오,020120,사업보고서 (2024.12),20250319000526,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250319000526
00140168,HS애드,035000,사업보고서 (2024.12),20250311001196,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250311001196
00140779,영보화학,014440,사업보고서 (2024.12),20250312000962,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250312000962
00141404,블루산업개발,006740,[기재정정]사업보고서 (2024.12),20250411003513,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250411003513
00141608,오리엔탈정공,014940,사업보고서 (2024.12),20250314000147,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250314000147
00142661,우성,006980,[기재정정]사업보고서 (2024.12),20250814003765,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250814003765
00142865,WISCOM,024070,사업보고서 (2024.12),20250320000660,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250320000660
00143642,웅진식품,,사업보고서 (2024.12),20250331002909,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250331002909
00143794,원림,005820,사업보고서 (2024.12),20250321000993,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250321000993
00144650,유신,054930,사업보고서 (2024.12),20250320000730,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250320000730
00145668,이화공영,001840,[기재정정]사업보고서 (2024.12),20250814001467,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250814001467
00145686,이화산업,000760,사업보고서 (2024.12),20250320000337,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250320000337
00145862,인천도시가스,034590,사업보고서 (2024.12),20250306000367,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250306000367
